Date,Player,Player_Type,Target,Line,Over_Price,Under_Price,Bookmaker,Provider,Market_Player_Norm,Market_Fetched_At_UTC,Market_Event_ID,Market_Commence_Time_UTC,Market_Home_Team,Market_Away_Team,Market_Name
2026-04-09,Troy Johnston,hitter,HR,0.5,750.0,,Caesars,covers,Troy_Johnston,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Troy Johnston,hitter,HR,0.5,820.0,,DraftKings,covers,Troy_Johnston,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Troy Johnston,hitter,HR,0.5,820.0,,FanDuel,covers,Troy_Johnston,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Fernando Tatis Jr.,hitter,HR,0.5,400.0,,BetMGM,covers,Fernando_Tatis_Jr,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Fernando Tatis Jr.,hitter,HR,0.5,390.0,,Caesars,covers,Fernando_Tatis_Jr,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Fernando Tatis Jr.,hitter,HR,0.5,330.0,,DraftKings,covers,Fernando_Tatis_Jr,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Fernando Tatis Jr.,hitter,HR,0.5,420.0,,FanDuel,covers,Fernando_Tatis_Jr,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Miguel Andujar,hitter,HR,0.5,508.0,,DraftKings,covers,Miguel_Andujar,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Willi Castro,hitter,HR,0.5,750.0,,BetMGM,covers,Willi_Castro,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Willi Castro,hitter,HR,0.5,700.0,,Caesars,covers,Willi_Castro,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Willi Castro,hitter,HR,0.5,710.0,,DraftKings,covers,Willi_Castro,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Willi Castro,hitter,HR,0.5,790.0,,FanDuel,covers,Willi_Castro,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Gavin Sheets,hitter,HR,0.5,475.0,,BetMGM,covers,Gavin_Sheets,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Gavin Sheets,hitter,HR,0.5,500.0,,Caesars,covers,Gavin_Sheets,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Gavin Sheets,hitter,HR,0.5,558.0,,DraftKings,covers,Gavin_Sheets,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Gavin Sheets,hitter,HR,0.5,570.0,,FanDuel,covers,Gavin_Sheets,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Edouard Julien,hitter,HR,0.5,700.0,,BetMGM,covers,Edouard_Julien,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Edouard Julien,hitter,HR,0.5,625.0,,Caesars,covers,Edouard_Julien,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Edouard Julien,hitter,HR,0.5,680.0,,DraftKings,covers,Edouard_Julien,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Edouard Julien,hitter,HR,0.5,680.0,,FanDuel,covers,Edouard_Julien,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Jackson Merrill,hitter,HR,0.5,375.0,,BetMGM,covers,Jackson_Merrill,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Jackson Merrill,hitter,HR,0.5,400.0,,Caesars,covers,Jackson_Merrill,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Jackson Merrill,hitter,HR,0.5,423.0,,DraftKings,covers,Jackson_Merrill,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Jackson Merrill,hitter,HR,0.5,440.0,,FanDuel,covers,Jackson_Merrill,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Jake McCarthy,hitter,HR,0.5,950.0,,BetMGM,covers,Jake_McCarthy,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
